name,type,address,email,phone_number,opening_hours,psychological_help,legal_help,social_help,accommodation,infoline,description,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Gminny Ośrodek Pomocy Społecznej w Osiu,GOV,"ulica Dworcowa 6, 86-150 Osie",pomoc@gopsosie.pl,52 32 09 732,poniedziałek - piątek 7:15- 15:15,True,False,True,False,nie,,,,,
Powiatowe Centrum Pomocy Rodzinie w Rypinie,GOV,"ulica Warszawska 38 A, 87 - 500 Rypin",sekretariat@pcpr-rypin.pl,54 280 36 41,"poniedziałek, środa, czwartek 7:00 - 15:00, wtorek 7:00 - 15:30, piątek: 7:00 - 14:30",True,True,True,True,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Łubiance,GOV,"ulica Bydgoska 10, 87-152 Łubianka",gops@lubianka.pl,56 649 56 60,"poniedziałek, środa, czwartek 7.30 – 15.30, wtorek 7.30 – 16.30, piątek 7.30 – 14.30",True,True,True,False,nie,,,,,
Powiatowe Centrum Pomocy Rodzinie w Tucholi,GOV,"ulica Kościuszki 16, 89-500 Tuchola",sekretariat@pcprtuchola.pl,52 559 20 18,poniedziałek 7:30 – 16:30 wtorek - czwartek 7:30 - 15:30 piątek 7:30 - 14:30,True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Wagańcu,GOV,"ulica Dworcowa 7, 87-731 Waganiec",gops@waganiec.pl,54 283 09 45,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 - 17:00, piątek 7:30 - 14:00",True,True,True,False,nie,,,,,
Urząd Miejski w Lubrańcu,GOV,"ulica Brzeska 49, 87-890 Lubraniec",urzad@lubraniec.pl,54 286 20 13 54 286 20 17 54 286 21 29,"poniedziałek, środa, czwartek, piątek 7:15 - 15:15 wtorek 8:00 - 16:00",False,False,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Więcborku,GOV,"ulica Mickiewicza 22A,, 89-410 Więcbork",sekretariat@mgopswiecbork.pl,52 389 53 50,"poniedziałek, środa, czwartek, piątek 7:00 - 15:00 wtorek 8:00 - 16:00",True,False,True,False,nie,,,,,
Centrum Usług Społecznych w Sępólnie Krajeńskim,GOV,"ulica Szkolna 8, 89-400 Sępólno Krajeńskie",cus@cus-sepolno.pl,52 388 84 50,"poniedziałek, środa, czwartek 7:30 - 15:30 wtorek 7:30 - 16:00 piątek 7:30 - 15:00",True,True,True,True,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Fabiankach,GOV,"Fabianki 4, 87-811 Fabianki",gops@fabianki.pl,54 231 78 00,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 - 17:00, piątek 7:30 - 14:00",False,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Warlubiu,GOV,"ulica Dworcowa 15, 86–160 Warlubie",gops@warlubie.pl,52 38 00 531,poniedziałek - czwartek 7:00- 15:15 piątek 7:00 - 14:00,True,False,True,False,nie,,,,,
Ośrodek Pomocy Społecznej Gminy Ryńsk,GOV,"ulica Mickiewicza 12/1, 87-200 Wąbrzeźno",ops@gminarynsk.pl,56 687 75 00,poniedziałek - piątek 7:15 - 15:15,False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Cekcynie,GOV,"ulica Szkolna 2, 89-511 Cekcyn",gops@cekcyn.pl,52 334 75 69,"poniedziałek, środa, czwartek 7:30 - 15:30 wtorek 7:30 - 17:00 piątek 7:30 - 14:00",False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Ciechocinie,GOV,"Miliszewy 51, 87-408 Ciechocin",gops@ciechocin.pl przemoc@ciechocin.pl,56 683 70 67 661 242 081,"poniedziałek, środa, czwartek 7.30-15.30, wtorek 7.30-16.30, piątek 7.30-14.30",False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Stolnie,GOV,"Stolno 112, 86-212 Stolno",gopsstolno@stolno.com.pl,56 677 09 21 667 491 193,"poniedziałek, środa, czwartek, piątek 7:30 - 15:15, wtorek 7:30 - 16:30",False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Kijewie Królewskim,GOV,"ulica Szlachecka 1, 86-253 Kijewo Królewskie",gops@kijewo.pl,56 620 00 83 508 059 065 533 737 197,"poniedziałek, środa, czwartek 7:15 - 15:15 wtorek 7:15 - 16:15 piątek 7:15 - 14:15",False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Świekatowie,GOV,"ulica Tucholska 6, 86 - 182 Świekatowo",gopsswiekatowo@poczta.fm,52 320 55 84 693 909 360,"poniedziałek, środa, czwartek 7:00 - 15:00 wtorek 7:00 - 16:30 piątek 7:00 - 14:30",False,False,True,False,nie,,,,,
Powiatowe Centrum Pomocy Rodzinie w Chełmnie (Ośrodek Interwencji Kryzysowej),GOV,"ulica Harcerska 1, 86-200 Chełmno",pcpr@pcprchelmno.pl,PCPR 56 677 24 46 OIK 56 677 24 28,,True,False,True,True,nie,,,,,
Urząd Gminy Dobre,GOV,"ulica Dworcowa 6, 88-210 Dobre",urzad@ugdobre.pl,54 285 01 57 54 285 01 58 54 285 01 25 54 285 00 83,poniedziałek - piątek 7:30 - 15:30,False,False,True,False,nie,,,,,
Specjalistyczny Ośrodek Wsparcia dla Osób Doznających Przemocy Domowej w Tucholi,GOV,"ulica Przemysłowa 6, 89-500 Tuchola",sow@tuchola.pl                                                drogapopomoc@tuchola.pl,(52) 554 00 45 664 721 527,całodobowo,True,True,True,True,664 721 527,,,,,
Ośrodek Pomocy Społecznej w Tucholi,GOV,"ulica Świecka 45, 89-500 Tuchola",ops@tuchola.pl,52 39 56 300,"poniedziałek, środa, czwartek 7:30 – 15:30, wtorek 8:00 – 16:00, piątek 7:00 – 15:00",True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Rodzinie w Konecku,GOV,"ulica Lubańskiego 11, 87-702 Koneck",gops@koneck.eu,54 272 20 02 531 906 301 531 462 449,,False,False,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Kowalewie Pomorskim,GOV,"ulica świętego Mikołaja 5, 87-410 Kowalewo Pomorskie",mgops@kowalewopomorskie.pl,56 684 11 30 56 475 65 43 56 475 65 44,"poniedziałek, środa, czwartek 7:00 - 15:00, wtorek 7:00 - 16:00, piątek 7:00 - 14:00",True,False,True,False,nie,,,,,
Powiatowe Centrum Pomocy Rodzinie w Wąbrzeźnieie,GOV,"ulica Wolności 44, 87-200 Wąbrzeźno",pcpr@wabrzezno.pl,56 688 24 50 do 57,"poniedziałek. środa, czwartek 7:30 – 15:30, wtorek 7:30 – 16:30, piątek 7:30 – 14:30",True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Osieku,GOV,"Osiek 81A, 87-340 Osiek",swiadczenia@gminaosiek.pl,58 582 12 23,,True,True,True,False,nie,,,,,
Ośrodek Pomocy Społecznej w Lubieniu Kujawskim,GOV,"ulica 1 Maja 44, 87-840 Lubień Kujawski",ops@lubienkujawski.pl,54 255 50 27,"poniedziałek, środa, czwartek 7:30 - 15:30 wtorek 7:30 - 16:00 piątek 7:30 -15:00",False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Zbójnie,GOV,"Zbójno 178 A, 87-645 Zbójno",gops@gopszbojno.pl,54 280 19 32,poniedziałek - piątek 7:30 - 15:30,True,True,True,True,800 154 030                        503 101 201,,,,,
Urząd Gminy Brzuze,GOV,"Brzuze 62, 87-517 Brzuze",gmina@brzuze.pl,54 270 11 23,"poniedziałek, środa, czwartek 7:30 - 15:30 wtorek 8:00 - 16:00, piątek 7:30 - 15:30",True,True,True,True,664 398 069 ,,,,,
Gminny Ośrodek Pomocy Społecznej w Osielsku,GOV,"ulica Centralna 6a, 86-031 Osielsko",sekretariat@ gops.osielsko.pl,52 375 71 00,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 - 17:00, piątek 7:30 - 14:00",True,True,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Dobrzyniu nad Wisłą,GOV,"ulica Szkolna 1, 87-610 Dobrzyń nad Wisłą",mgops@dobrzyn.pl,54 253 05 06,"poniedziałek, środa, czwartek 7:30 - 15:30 , wtorek 7:30 - 17:00 , piątek 7:30 - 14:00",True,True,True,False,nie,,,,,
Miejski Ośrodek Pomocy Społecznej w Bydgoszczy,GOV,"ulica Ogrodowa 9, 85-039 Bydgoszcz","kancelaria@mopsbydgoszcz.pl
 sekretariat@mopsbydgoszcz.pl",52 312 71 00,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 - 17:30, piątek 7:30 - 13:30",True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej we Włocławku,GOV,"ulica Królewiecka 7, 87-800 Włocławek",gops@gmina.wloclawek.pl,54 230 53 47,,True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Brzuzem,GOV,"Brzuze 63, 87-517 Brzuze",gops@brzuze.pl,54 233 06 66,"poniedziałek, środa, czwartek 7:30 - 15:30 wtorek 8:00 - 16:00, piątek 7:30 - 15:30",True,True,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Kamieniu Krajeńskim,GOV,"Plac Odrodzenia 3, 89-430 Kamień Krajeński",sekretariat@mgopskamienkr.pl,52 389 45 26,"poniedziałek, środa, czwartek 7:30 - 15:30 wtorek 7:30 - 17:00 piątek 7:30 - 14:00",True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Wielgiem,GOV,"ulica Starowiejska 8, 87 - 603 Wielgie",gopswielgie@pro.onet.pl,54 289 71 11 54 283 04 09,poniedziałek - piątek 7:30 - 15:30,True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Topólce,GOV,"Topólka 22,  87-875 Topólka",gops@topolka.pl,54 286 90 68 530 736 372,,False,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Radziejowie,GOV,"ulica Kościuszki 58, 88-200 Radziejów",gops@ugradziejow.pl,54 231 28 78,poniedziałek - piątek 7:30 - 15:30,False,True,True,False, 800 154 030 / 503 101 201,,,,,
Urząd Miejski w Lubieniu Kujawskim,GOV,"ulica Wojska Polskiego 29, 87-840 Lubień Kujawski",sekretariat@lubienkujawski.pl,54 284 43 20,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 - 16:00, piątek 8:00 - 15:00",False,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Rypinie,GOV,"ulica Lipnowska 4, 87-500 Rypin",gops@rypin.pl,54 280 97 06,poniedziałek - piątek: 7.30 - 15.30,True,False,True,True,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Nowej Wsi Wielkiej,GOV,"ulica Ogrodowa 2A, 86-060 Nowa Wieś Wielka",gops@nowawieswielka.pl,52 381 24 55 52 381 21 44,"poniedziałek, środa, czwartek, piątek 7:00 - 15:00 wtorek 8:00 - 16:00",True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Radominie,GOV,"Radomin 1A, 87-404 Radomin",gops@radomin.pl,56 683 75 22 533 308 763,poniedziałek - piątek 7:30 - 15:30,True,False,True,False,nie,,,,,
Ośrodek Pomocy Społecznej w Świeciu,GOV,"ulica Gen. Józefa Hallera 11, 86-100 Świecie",sekretariat@opsswiecie.pl,52 519 05 40-51,poniedziałek - piątek 7:00- 15:00,True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Chełmży,GOV,"ulica Paderewskiego 11, 87-140 Chełmża",gops@gminachelmza.pl,56 675 60 19,"poniedziałek, środka, czwartek 7:00 - 15:00 , wtorek 7:00 - 16:00 , piątek 7:00 - 14:00",True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Gąsawie,GOV,"ulica Żnińska 19, 88-410 Gąsawa",gops@gasawa.pl,52 303 62 30,"poniedziałek, środa, czwartek 7:00 - 15:00 wtorek 7:00 - 16:00, piątek 7:00 - 14:00",True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Chełmnie,GOV,"ulica Dworcowa 5, 86-200 Chełmno",gops@gopschelmno.pl,56 686 14 42,"poniedziałek, środa, czwartek 7:15 - 15:15, wtorek 7:15 - 16:15, piątek 7:15 - 14:15",True,False,True,False, 800 154 030 / 503 101 201,,,,,
Gminny Ośrodek Pomocy Społecznej w Dąbrowie,GOV,"ulica Szkolna 13, 88-306 Dąbrowa",gops@ug-dabrowa.pl,52 318 62 10,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 - 17:00, piątek 7:30 - 14:00",True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Lipnie,GOV,"ulica Mickiewicza 29, 87-600 Lipno",gops@uglipno.pl,65 527 16 56 603 944 380,"poniedziałek, środa, czwartek 7:15 - 15:15 , wtorek 7:15 - 16:30 , piątek 7:15 - 14:00",False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Książkach,GOV,"ulica Bankowa 4, 87-222 Książki",gops@gminaksiazki.pl,56 688 81 10,"poniedziałek, środa, czwartek 7:00 - 15:00, wtorek 7:00 - 16:00, piątek 7:00 - 14:00",False,False,True,False,nie,,,,,
Urząd Gminy Baruchowo,GOV,"Baruchowo 54, 87-821 Baruchowo",gmina@baruchowo.pl,54 28 45 611,"poniedziałek, środa, czwartek, piątek 7:15 - 15:15 , wtorek 8:00 - 16:00",False,False,True,False,nie,,,,,
Miejski Ośrodek Pomocy Społecznej w Łabiszynie,GOV,"ulica Szubińska 1, 89-210 Łabiszyn",mops.labiszyn@admin.com.pl,52 384 41 83,poniedziałek - piątek 7:30 - 15:30,False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Sośnie/Punkt Interwencji Kryzysowej,GOV,"ulica Parkowa 4, 89-412 Sośno",sekretariat@gops.sosno.pl,52 389 12 17 500 414 604,poniedziałek - piątek 7:15 - 15:15,True,True,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Nakle nad Notecią (Zespół Interdyscyplinarny do Spraw Przeciwdziałania Przemocy Domowej),GOV,"ulica Ks. Skargi 2, 89-100 Nakło nad Notecią",zi@mgops.naklo.pl                                           sekretariat@mgops.naklo.pl,52 386 08 14 530 818 864,poniedziałek - piątek 7:15 - 15:15,False,False,True,True,nie,,,,,
Miejski Ośrodek Pomocy Rodzinie we Włocławku (Specjalistyczny Ośrodek Wsparcia dla Osób Doznających Przemocy Domowej),GOV,"ulica Ogniowa 8/10, 87-800 Włocławek",sekretariat@mopr.wloclawek.pl,54 423 23 00,"poniedziałek, środa, czwartek 7:30 - 15:30 wtorek 7:30 - 16:00 piątek 7:30 - 15:00",True,True,True,True, 668 025 026,,,,,
Gminny Ośrodek Pomocy Społecznej w Dąbrowie Chełmińskiej,GOV,"Wałdowo Królewskie, ulica Długa 32,
 86-070 Dąbrowa Chełmińska",gops@dabrowachelminska.lo.pl,52 381 67 69 52 559 21 50 722 394 127,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 -17:00, piątek 7:30 - 14:00",True,False,True,False,nie,,,,,
Miejski Ośrodek Pomocy Społecznej w Ciechocinku,GOV,"ulica Kopernika 14, 87 - 720 Ciechocinek",mops@ciechocinek.pl,54 416 10 17,"poniedziałek - czwartek 7:30 - 15:30, piątek 7:30 - 14:00",True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Sicienku,GOV,"ulica Sportowa 2, 86-014 Sicienko",gopssicienko@gopssicienko.pl,52 311 74 23,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 - 17:00, piątek 7:30 - 14:00",True,True,True,False,523 117 416,,,,,
Urząd Miasta i Gminy w Radzyniu Chełmińskim,GOV,ulica Plac Towarzystwa Jaszczurczego 9                  87-220 Radzyń Chełmiński,	urzad@radzynchelminski.eu,56 688 60 01 56 688 60 87 56 688 60 10,"poniedziałek - czwartek 7:00 - 15:30, piątek 7:00 - 13:00",True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Śliwicach,GOV,"ulica ks. dra. St. Sychowskiego 28,                           89 - 530 Śliwice",gops@sliwice.pl,52 334 07 27,"poniedziałek, wtorek, czwartek 7:00 -15:00, środa 7:00 - 16:00, piątek 7:00 - 14:00",False,False,True,False, 800 154 030 / 503 101 201,,,,,
Dom dla Matek z Małoletnimi Dziećmi i Kobiet w Ciąży im. lek. med. Lecha Bramorskiego w Skępem,GOV,"ulica Wymyślińska 2, 87-630 Skępe",sekretariat@dommatkiskepe.pl,883 093 383,,True,True,True,True,883 093 383,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Chodczu,GOV,"Kaliska 2, 87-860 Chodecz",mgops@chodecz.pl,54 284 80 70 784 906 431,poniedziałek - piątek 7:30 - 15:30,True,False,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Barcinie,GOV,"ulica Mogileńska 3, 88-190 Barcin",mgops.barcin@admin.com.pl,52 383 34 45,"poniedziałek, środa, czwartek 7:00 - 15:00 wtorek 7:00 - 16:00 piątek 7:00 -13:30",False,False,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Piotrkowie Kujawskim,GOV,"ulica Słoneczna 32, 88-230 Piotrków Kujawski",mgops@piotrkowkujawski.pl,54 2654 184 783 180 335,"poniedziałek, środa, czwartek 7:00 - 15:00 wtorek 7:30 - 17:00, piątek 7:30 - 14:00",False,False,True,False,nie,,,,,
Miejski Ośrodek Polityki Społecznej w Golubiu-Dobrzyniu,GOV,"ulica Kilińskiego 10, 87-400 Golub-Dobrzyń",mopsum@golub-dobrzyn.pl,"56 683 54 10
56 683 54 11
56 683 54 12","poniedziałek, środa, czwartek 7:00 - 15:00, wtorek 7:00 - 16:00, piątek 7:00 - 14:00",False,False,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Skępem,GOV,"ulica Dworcowa 9, 87-630 Skępe",osrodek@mgops.skepe.pl,54 306 75 70,"poniedziałek, środa, czwartek 7:30 - 15:30 , wtorek 7:30 - 17:00 , piątek 7:30- 14:00",True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Bobrowie,GOV,"Bobrowo 27, 87-327 Bobrowo",gops@bobrowo.org,56 491 33 58 665 460 399 606 733 440,"poniedziałek 7:15 - 16:00 wtorek, środa, czwartek 7:15 - 15:15 piątek 7:15 - 14:30",True,True,True,False,800 154 030,,,,,
Miejski Ośrodek Pomocy Społecznej w Inowrocławiu,GOV,"ulica świętego Ducha 90, 88-100 Inowrocław",sekretariat@mopsinowroclaw.samorzady.pl,52 357 10 31,,True,True,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Gniewkowie,GOV,"ulica Dworcowa 8c, 88-140, Gniewkowo",mgops@mgops-gniewkowo.pl,52 358 53 60,"poniedziałek, środa, czwartek 7:00 – 15:00, wtorek 8:00 – 16:00, piątek 7:00 – 14:00",False,True,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Janikowie,GOV,"ulica Miła 11, 88-160 Janikowo",mgops@janikowo.com.pl,52 358 36 06,"poniedziałek, środa, czwartek 7:00 – 15:00, wtorek 7:00 – 16:00, piątek 7:00 – 14:00",True,False,True,False, 800 154 030 / 503 101 201,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Koronowie,GOV,"ulica Pomianowskiego 1, 86-010 Koronowo",sekretariat@mgops.koronowo.pl,52 567 31 10,poniedziałek - piątek: 7:30 - 15:30,True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Konecku,GOV,"ulica Włodzimierza Lubańskiego 11, 87-702 Koneck",gops@koneck.eu,54 272 20 02,"poniedziałek – piątek 7:30 – 15:30,",False,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Lubiewie,GOV,"ulica Hallera 7, 89-526 Lubiewo",gops@lubiewo.pl,52 334 92 49,poniedziałek - piątek 7:00 - 15:00,False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Bukowcu,GOV,"ulica Dr Ceynowy 14, pok. nr 8 i 10
 86-122 Bukowiec",gops@bukowiec.pl,52 330 93 24,,True,True,True,False,nie,,,,,
"Gminny Ośrodek Pomocy Społecznej
 w Brzoziu",GOV,"Brzozie 50, 87-313, Brzozie",gops@brzozie.pl,56 49 129 25 665 794 176,"poniedziałek, środa, czwartek 7:00 – 15:00 wtorek: 7:00 – 16:00, piątek: 7:00 – 14:00",True,True,True,False,800 120 002,,,,,
Urząd Miasta i Gminy w Łasinie,GOV,"ulica Radzyńska 2, 86-320 Łasin",umig@lasin.pl,56 466 50 43,poniedziałek - piątek 7:15 - 15:15,True,True,True,False,nie,,,,,
Urząd Miasta i Gminy Kikół,GOV,"Plac Kościuszki 7, 87-620 Kikół",urzad@kikol.pl,54 289 46 70,"poniedziałek, środa, czwartek 7:00 - 15:00 wtorek 7:00 -16:00 piątek 7:00 - 14:00",True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Tłuchowie,GOV,"Sierpecka 20, 87-605 Tłuchowo",gops.tluchowo@wp.pl,54 287 62 60,poniedziałek - piątek 7:30 - 15:30,True,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Drzycimiu,GOV,"ulica Podgórna 10, 86-140 Drzycim",gops@drzycim.pl,52 331 70 42,poniedziałek - środa 7:30 - 15:30 czwartek - piątek 7:00 - 15:00,False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Kikole,GOV,"Plac Kościuszki 7A, 87-620 Kikół",gops@kikol.pl,54 289 46 70,poniedziałek - piątek 7:15 - 15:15,False,False,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Mogilnie,GOV,"Rynek 10, 88-300 Mogilno",info@mgops-mogilno.pl,52 315 93 15,poniedziałek - piątek 7:30 - 15:30,True,True,True,False,800 154 030 / 503 101 201,,,,,
Centrum Usług Społecznych w Lisewie,GOV,"ulica Toruńska 15, 86-230 Lisewo",cus@lisewo.com,56 676 85 10,"poniedziałek, środa, czwartek, piątek: 7:30 - 15:15, wtorek 7:30 - 16:30",False,False,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Zbicznie,GOV,"ulica Młyńska 6, 87-305 Zbiczno",gops@gopszbiczno.pl,56 49 393 19,"poniedziałek, środa, czwartek 7:00 – 15:00 wtorek: 7:00 – 16:00, piątek: 7:00 – 14:00",True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Dragaczu,GOV,86-134 Dragacz 7A,gops@dragacz.pl,52 33 248 70,"poniedziałek, środa, czwartek 7:30 – 15:30, wtorek 7:30 – 17:00, piątek 7:30 – 14:00",True,True,True,False,nie,,,,,
Urząd Gminy w Czernikowie,GOV,"ulica Słowackiego 12, 87- 640 Czernikowo",info@czernikowo.pl,54 287 50 01,"poniedziałek, wtorek, czwartek 7:00 -15:00, środa 7:00 - 17:00, piątek 7:00 - 13:00",True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Czernikowie,GOV,"ulica Słowackiego 12, 87-640 Czernikowo",gops@czernikowo.pl,54 287 50 01,"poniedziałek, wtorek, czwartek 7:00 -15:00, środa 7:00 - 17:00, piątek 7:00 - 13:00",True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Jeziorach Wielkich,GOV,"Jeziora Wielkie 106/4, 88-324 Jeziora Wielkie",gops@ug.jeziorawielkie.pl,52 318 72 20,"poniedziałek, środa, czwartek 7:30 - 15:30 wtorek 7:30 - 17:00, piątek 7:30 - 14:00",True,False,True,False,nie,,,,,
Urząd Gminy Chełmno,GOV,"ulica Dworcowa 5, 86-200 Chełmno",biuro_informacji@chelmno.pl,56 686 15 40 531 069 861,"poniedziałek, wtorek, czwartek 7:30 - 15:30, środa 7:30 - 16:30, piątek 7:30 - 14:30",True,False,True,False,nie,,,,,
Urząd Gminy Raciążek,GOV,"ulica Wysoka 4, 87-721 Raciążek",gmina@raciazek.pl                                             radagminy.raciazek@wp.pl,54 283 18 85 54 283 18 90,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 - 17:00 , piątek 7:30 - 14:00",True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Bartniczce,GOV,"ulica Brodnicka 8, 87-321 Bartniczka",gops@gopsbartniczka.pl,56 493 68 18 56 493 68 17 56 493 68 16 56 493 68 15 56 493 68 19 56 493 68 20,,False,False,True,False,nie,,,,,
